Method,starcoder15b precision,starcoder15b recall,starcoder15b F1,starcoderbase7b precision,starcoderbase7b recall,starcoderbase7b F1,gptneox20b precision,gptneox20b recall,gptneox20b F1,gptj6b precision,gptj6b recall,gptj6b F1
Ours Ablation Probs,0.7023,0.7458,0.7234,0.6714,0.7852,0.7238,0.7813,0.7486,0.7646,0.7579,0.7333,0.7454
Ours Ablation Representation,0.5358,0.5779,0.556,0.5374,0.5658,0.5512,0.4158,0.541,0.4702,0.4009,0.52,0.4527
Ours Ablation Triviality,0.6986,0.7504,0.7236,0.6853,0.7247,0.7044,0.6707,0.741,0.7041,0.623,0.8057,0.7027
Ours Ablation SynPred,0.7340,0.7640,0.7487,0.7558,0.7352,0.7454,0.8166,0.7295,0.7706,0.7919,0.7467,0.7686
Ours Ablation SemPred,0.7664,0.7247,0.7449,0.7575,0.7277,0.7423,0.7890,0.7124,0.7487,0.8205,0.7486,0.7829
Ours Ablation CorpusGen,0.7626,0.7337,0.7479,0.7732,0.7322,0.7521,0.7992,0.7352,0.7659,0.7874,0.7410,0.7635
Ours Min Aggregation,0.7558,0.7443,0.7500,0.7390,0.7368,0.7379,0.7706,0.7486,0.7594,0.8017,0.7390,0.7691
Ours Avg Aggregation,0.7352,0.7519,0.7435,0.7430,0.7216,0.7322,0.8043,0.7124,0.7556,0.6927,0.7600,0.7248
Ours Ablation Slicing,0.7715,0.7458,0.7585,0.7799,0.7398,0.7593,0.7519,0.7733,0.7624,0.7811,0.7543,0.7674
Ours,0.7857,0.8154,0.8003,0.775,0.8336,0.8032,0.8126,0.8095,0.8111,0.8234,0.7905,0.8066
Ours Ablation Probs Delta,-0.0834,-0.0696,-0.0769,-0.1036,-0.0484,-0.0794,-0.0313,-0.0609,-0.0465,-0.0655,-0.0572,-0.0612
Ours Ablation Representation Delta,-0.2499,-0.2375,-0.2443,-0.2376,-0.2678,-0.252,-0.3968,-0.2685,-0.3409,-0.4225,-0.2705,-0.3539
Ours Ablation Triviality Delta,-0.0871,-0.065,-0.0767,-0.0897,-0.1089,-0.0988,-0.1419,-0.0685,-0.107,-0.2004,0.0152,-0.1039
Ours Ablation SynPred Delta,-0.0517,-0.0514,-0.0516,-0.0192,-0.0984,-0.0578,0.0040,-0.0800,-0.0405,-0.0315,-0.0438,-0.0380
Ours Ablation SemPred Delta,-0.0193,-0.0907,-0.0554,-0.0175,-0.1059,-0.0609,-0.0236,-0.0971,-0.0624,-0.0029,-0.0419,-0.0237
Ours Ablation CorpusGen Delta,-0.0231,-0.0817,-0.0524,-0.0018,-0.1014,-0.0511,-0.0134,-0.0743,-0.0452,-0.0360,-0.0495,-0.0431
Ours Min Aggregation Delta,-0.0299,-0.0711,-0.0503,-0.0360,-0.0968,-0.0653,-0.0420,-0.0609,-0.0517,-0.0217,-0.0515,-0.0375
Ours Avg Aggregation Delta,-0.0505,-0.0635,-0.0568,-0.0320,-0.1120,-0.0710,-0.0083,-0.0971,-0.0555,-0.1307,-0.0305,-0.0818
Ours Ablation Slicing Delta,-0.0142,-0.0696,-0.0418,0.0049,-0.0938,-0.0439,-0.0607,-0.0362,-0.0487,-0.0423,-0.0362,-0.0392
